国家,年份,自变量,城镇人口（占总人口比例）,人均 GDP（2010年不变价美元）,外国直接投资额（以当前价格计算，百万美元）,第一产业占比,
中非,2018,2253,41.364,378.9952771,17.995,31.24133151,
乍得,2018,49833,23.059,813.3424788,662.207,44.93848264,
赞比亚,2018,270345,43.521,1672.345428,568.95,2.576212813,
乌干达,2018,214767,23.774,710.0819481,1337.128,24.20746636,
突尼斯,2018,11151,68.945,4401.05719,1035.941,10.36898694,
坦桑尼亚,2018,107600,33.776,959.3546887,1104.8,,
索马里,2018,1987,44.971,,409,,
苏丹,2018,50046,34.642,1855.626292,1135.787,31.46866064,
斯威士兰,2018,0,23.799,4773.917382,25.418,8.59027408,
圣多美和普林西比,2018,552,72.803,1297.358572,17.467,11.35355932,
塞舌尔,2018,1591,56.691,14385.30181,123.931,2.028153515,
塞内加尔,2018,114290,47.192,1546.520159,629.312,16.56229004,
塞拉利昂,2018,13611,42.055,472.8254381,599,58.93440965,
尼日利亚,2018,404785,50.344,2396.310914,1997.485,21.19955017,
尼日尔,2018,17158,16.425,403.4852866,460.142,39.20446939,
南非,2018,138142,66.355,7433.615398,5333.999,2.176019651,
纳米比亚,2018,45899,50.032,6044.528433,195.801,7.186571983,
莫桑比克,2018,80422,35.988,591.4392764,2711.125,24.52071989,
摩洛哥,2018,68304,62.453,3361.223789,3640.383,12.26303778,
毛里塔尼亚,2018,18324,53.672,1334.460418,70.755,25.91942552,
毛里求斯,2018,12418,40.793,10578.61732,371.518,2.777069747,
马里,2018,40072,42.356,777.8605975,365.917,38.69836948,
马拉维,2018,8902,16.937,516.7540552,101.615,,
马达加斯加,2018,16740,37.191,490.0973122,349.096,23.83615709,
卢旺达,2018,28805,17.211,824.5188484,398.471,29.03906447,
利比亚,2018,107,80.102,7536.754323,0,0,
利比里亚,2018,19693,51.151,541.2713241,122.2,37.27628676,
莱索托,2018,1168,28.153,1411.676497,39.33,5.997444236,
肯尼亚,2018,435274,27.03,1202.133023,1625.921,34.19467913,
科特迪瓦,2018,85048,50.779,1692.54455,912.856,19.76932173,
科摩罗,2018,2924,28.965,1401.372199,7.886,32.6425071,
喀麦隆,2018,125210,56.374,1500.703897,701.744,14.42317087,
